code,science,sc_code,sphere,occupation
"186","Инженерное дело; технологии и технические науки","15.01.03","Наладчик кузнечно-прессового оборудования","Оператор-кузнец на автоматических и полуавтоматических линиях"
"187","Инженерное дело; технологии и технические науки","15.01.04","Наладчик сварочного и газоплазморезательного оборудования","Наладчик сварочного и газоплазморезательного оборудования"
"188","Инженерное дело; технологии и технические науки","15.01.04","Наладчик сварочного и газоплазморезательного оборудования","Электросварщик на автоматических и полуавтоматических машинах"
"189","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (ручной и частично механизированной сварки (наплавки)","Сварщик ручной дуговой сварки плавящимся покрытым электродом"
"190","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (ручной и частично механизированной сварки (наплавки)","Сварщик частично механизированной сварки плавлением"
"191","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (ручной и частично механизированной сварки (наплавки)","Сварщик ручной дуговой сварки неплавящимся электродом в защитном газе"
"192","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (ручной и частично механизированной сварки (наплавки)","Газосварщик"
"193","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (ручной и частично механизированной сварки (наплавки)","Сварщик ручной сварки полимерных материалов"
"194","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (ручной и частично механизированной сварки (наплавки)","Сварщик термитной сварки"
"195","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (электросварочные и газосварочные работы)","Газосварщик"
"196","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (электросварочные и газосварочные работы)","Электрогазосварщик"
"197","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (электросварочные и газосварочные работы)","Электросварщик на автоматических и полуавтоматических машинах"
"198","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (электросварочные и газосварочные работы)","Электросварщик ручной сварки"
"199","Инженерное дело; технологии и технические науки","15.01.05","Сварщик (электросварочные и газосварочные работы)","Газорезчик"
"200","Инженерное дело; технологии и технические науки","15.01.06","Сварщик на лазерных установках","Сварщик на лазерных установках"
"201","Инженерное дело; технологии и технические науки","15.01.07","Сварщик на электронно-лучевых сварочных установках","Сварщик на электронно-лучевых сварочных установках"
"202","Инженерное дело; технологии и технические науки","15.01.08","Наладчик литейного оборудования","Наладчик литейных машин"
"203","Инженерное дело; технологии и технические науки","15.01.08","Наладчик литейного оборудования","Наладчик формовочных и стержневых машин"
"204","Инженерное дело; технологии и технические науки","15.01.09","Машинист лесозаготовительных и трелевочных машин","Машинист-крановщик"
"205","Инженерное дело; технологии и технические науки","15.01.09","Машинист лесозаготовительных и трелевочных машин","Машинист трелевочной машины"
"206","Инженерное дело; технологии и технические науки","15.01.09","Машинист лесозаготовительных и трелевочных машин","Тракторист на подготовке лесосек; трелевке и вывозке леса"
"207","Инженерное дело; технологии и технические науки","15.01.10","Слесарь по ремонту лесозаготовительного оборудования","Слесарь по ремонту лесозаготовительного оборудования"
"208","Инженерное дело; технологии и технические науки","15.01.11","Электромонтажник блоков электронно-механических часов","Сборщик часов"
"209","Инженерное дело; технологии и технические науки","15.01.11","Электромонтажник блоков электронно-механических часов","Электромонтажник блоков электронно-механических часов"
"210","Инженерное дело; технологии и технические науки","15.01.12","Часовщик-ремонтник","Часовщик по ремонту механических часов"
"211","Инженерное дело; технологии и технические науки","15.01.12","Часовщик-ремонтник","Часовщик по ремонту электронных и кварцевых часов"
"212","Инженерное дело; технологии и технические науки","15.01.13","Монтажник технологического оборудования (по видам оборудования)","Монтажник технологического оборудования и связанных с ним конструкций"
"213","Инженерное дело; технологии и технические науки","15.01.13","Монтажник технологического оборудования (по видам оборудования)","Монтажник дробильно-размольного оборудования и оборудования для сортировки и обогащения"
"214","Инженерное дело; технологии и технические науки","15.01.13","Монтажник технологического оборудования (по видам оборудования)","Монтажник оборудования атомных электрических станций"
"215","Инженерное дело; технологии и технические науки","15.01.13","Монтажник технологического оборудования (по видам оборудования)","Монтажник оборудования коксохимических производств"
"216","Инженерное дело; технологии и технические науки","15.01.13","Монтажник технологического оборудования (по видам оборудования)","Монтажник оборудования металлургических заводов"
"217","Инженерное дело; технологии и технические науки","15.01.13","Монтажник технологического оборудования (по видам оборудования)","Монтажник сельскохозяйственного оборудования"
"218","Инженерное дело; технологии и технические науки","15.01.13","Монтажник технологического оборудования (по видам оборудования)","Монтажник шахтного оборудования на поверхности"
"219","Инженерное дело; технологии и технические науки","15.01.14","Наладчик оборудования в бумажном производстве","Наладчик оборудования в бумажном производстве"
"220","Инженерное дело; технологии и технические науки","15.01.15","Наладчик деревообрабатывающего оборудования","Наладчик деревообрабатывающего оборудования"
"221","Инженерное дело; технологии и технические науки","15.01.16","Наладчик технологического оборудования в производстве строительных материалов","Наладчик технологического оборудования в производстве строительных материалов"
"222","Инженерное дело; технологии и технические науки","15.01.17","Электромеханик по торговому и холодильному оборудованию","Электромеханик по торговому и холодильному оборудованию"
"223","Инженерное дело; технологии и технические науки","15.01.18","Машинист холодильных установок","Машинист холодильных установок"
"224","Инженерное дело; технологии и технические науки","15.01.19","Наладчик контрольно-измерительных приборов и автоматики","Наладчик контрольно-измерительных приборов и автоматики"
"225","Инженерное дело; технологии и технические науки","15.01.19","Наладчик контрольно-измерительных приборов и автоматики","Слесарь по контрольно-измерительным приборам и автоматике"
"226","Инженерное дело; технологии и технические науки","15.01.20","Слесарь по контрольно-измерительным приборам и автоматике","Слесарь по контрольно-измерительным приборам и автоматике"
"227","Инженерное дело; технологии и технические науки","15.01.21","Электромонтер охранно-пожарной сигнализации","Электромонтер охранно-пожарной сигнализации"
"228","Инженерное дело; технологии и технические науки","15.01.22","Чертежник-конструктор","Чертежник-конструктор"
"229","Инженерное дело; технологии и технические науки","15.01.22","Чертежник-конструктор","Чертежник"
"230","Инженерное дело; технологии и технические науки","15.01.23","Наладчик станков и оборудования в механообработке","Наладчик автоматических линий и агрегатных станков"
"231","Инженерное дело; технологии и технические науки","15.01.23","Наладчик станков и оборудования в механообработке","Наладчик автоматов и полуавтоматов"
"232","Инженерное дело; технологии и технические науки","15.01.23","Наладчик станков и оборудования в механообработке","Наладчик станков и манипуляторов с программным управлением"
"233","Инженерное дело; технологии и технические науки","15.01.23","Наладчик станков и оборудования в механообработке","Станочник широкого профиля"
"234","Инженерное дело; технологии и технические науки","15.01.24","Наладчик шлифовальных станков","Наладчик шлифовальных станков"
"235","Инженерное дело; технологии и технические науки","15.01.24","Наладчик шлифовальных станков","Шлифовщик"
"236","Инженерное дело; технологии и технические науки","15.01.25","Станочник (металлообработка)","Оператор станков с программным управлением"
"237","Инженерное дело; технологии и технические науки","15.01.25","Станочник (металлообработка)","Станочник широкого профиля"
"238","Инженерное дело; технологии и технические науки","15.01.26","Токарь-универсал","Токарь"
"239","Инженерное дело; технологии и технические науки","15.01.26","Токарь-универсал","Токарь-карусельщик"
"240","Инженерное дело; технологии и технические науки","15.01.26","Токарь-универсал","Токарь-расточник"
"241","Инженерное дело; технологии и технические науки","15.01.26","Токарь-универсал","Токарь-револьверщик"
"242","Инженерное дело; технологии и технические науки","15.01.27","Фрезеровщик-универсал","Зуборезчик"
"243","Инженерное дело; технологии и технические науки","15.01.27","Фрезеровщик-универсал","Фрезеровщик"
"244","Инженерное дело; технологии и технические науки","15.01.27","Фрезеровщик-универсал","Шевинговальщик"
"245","Инженерное дело; технологии и технические науки","15.01.28","Шлифовщик-универсал","Доводчик-притирщик"
"246","Инженерное дело; технологии и технические науки","15.01.28","Шлифовщик-универсал","Заточник"
"247","Инженерное дело; технологии и технические науки","15.01.28","Шлифовщик-универсал","Зубошлифовщик"
"248","Инженерное дело; технологии и технические науки","15.01.28","Шлифовщик-универсал","Шлифовщик"
"249","Инженерное дело; технологии и технические науки","15.01.29","Контролер станочных и слесарных работ","Комплектовщик изделий и инструмента"
"250","Инженерное дело; технологии и технические науки","15.01.29","Контролер станочных и слесарных работ","Контролер станочных и слесарных работ"
"251","Инженерное дело; технологии и технические науки","15.01.30","Слесарь","Слесарь-инструментальщик"
"252","Инженерное дело; технологии и технические науки","15.01.30","Слесарь","Слесарь механосборочных работ"
"253","Инженерное дело; технологии и технические науки","15.01.30","Слесарь","Слесарь-ремонтник"
"254","Инженерное дело; технологии и технические науки","15.01.31","Мастер контрольно-измерительных приборов и автоматики","Наладчик контрольно-измерительных приборов и автоматики"
"255","Инженерное дело; технологии и технические науки","15.01.31","Мастер контрольно-измерительных приборов и автоматики","Слесарь по контрольно-измерительным приборам и автоматике"
"256","Инженерное дело; технологии и технические науки","15.01.32","Оператор станков с программным управлением","Оператор станков с программным управлением"
"257","Инженерное дело; технологии и технические науки","15.01.32","Оператор станков с программным управлением","Станочник широкого профиля"
"258","Инженерное дело; технологии и технические науки","15.01.33","Токарь на станках с числовым программным управлением","Токарь"
"259","Инженерное дело; технологии и технические науки","15.01.33","Токарь на станках с числовым программным управлением","Токарь-карусельщик"
"260","Инженерное дело; технологии и технические науки","15.01.33","Токарь на станках с числовым программным управлением","Токарь-расточник"
"261","Инженерное дело; технологии и технические науки","15.01.33","Токарь на станках с числовым программным управлением","Токарь-револьверщик"
"262","Инженерное дело; технологии и технические науки","15.01.34","Фрезеровщик на станках с числовым программным управлением","Зуборезчик"
"263","Инженерное дело; технологии и технические науки","15.01.34","Фрезеровщик на станках с числовым программным управлением","Фрезеровщик"
"264","Инженерное дело; технологии и технические науки","15.01.34","Фрезеровщик на станках с числовым программным управлением","Шевинговальщик"
"265","Инженерное дело; технологии и технические науки","15.01.35","Мастер слесарных работ","Слесарь-инструментальщик"
"266","Инженерное дело; технологии и технические науки","15.01.35","Мастер слесарных работ","Слесарь механосборочных работ"
"267","Инженерное дело; технологии и технические науки","15.01.35","Мастер слесарных работ","Слесарь-ремонтник"
"268","Инженерное дело; технологии и технические науки","15.01.36","Дефектоскопист","Дефектоскопист по визуальному и измерительному контролю"
"269","Инженерное дело; технологии и технические науки","15.01.36","Дефектоскопист","Дефектоскопист по ультразвуковому контролю"
"270","Инженерное дело; технологии и технические науки","15.01.36","Дефектоскопист","Дефектоскопист по радиационному контролю"
"271","Инженерное дело; технологии и технические науки","15.01.36","Дефектоскопист","Дефектоскопист по капиллярному контролю"
"272","Инженерное дело; технологии и технические науки","15.01.36","Дефектоскопист","Дефектоскопист по магнитному контролю"
"274","Инженерное дело; технологии и технические науки","18.01.01","Лаборант по физико-механическим испытаниям","Лаборант по физико-механическим испытаниям"
"275","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Дозиметрист"
"276","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Лаборант по анализу газов и пыли"
"277","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Лаборант-микробиолог"
"278","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Лаборант-полярографист"
"279","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Лаборант спектрального анализа"
"280","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Лаборант химического анализа"
"281","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Лаборант химико-бактериологического анализа"
"282","Инженерное дело; технологии и технические науки","18.01.02","Лаборант-эколог","Пробоотборщик"
"283","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик газоразделения"
"284","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик нейтрализации"
"285","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик обессоливания воды"
"286","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик осаждения"
"287","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик осушки газа"
"288","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик отстаивания"
"289","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик очистки газа"
"290","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик очистки жидкости"
"291","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик очистки сточных вод"
"292","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик перегонки Аппаратчик переработки отходов химического производства"
"293","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик фильтрации"
"294","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Аппаратчик химводоочистки"
"295","Инженерное дело; технологии и технические науки","18.01.03","Аппаратчик-оператор экологических установок","Оператор по обслуживанию пылегазоулавливающих установок"
"296","Инженерное дело; технологии и технические науки","18.01.04","Изготовитель изделий строительной керамики","Прессовщик изделий строительной керамики"
"297","Инженерное дело; технологии и технические науки","18.01.04","Изготовитель изделий строительной керамики","Формовщик изделий строительной керамики"
"298","Инженерное дело; технологии и технические науки","18.01.05","Аппаратчик-оператор производства неорганических веществ","Профессии аппаратчиков; включенные в ЕТКС; выпуск 24"
"299","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор изготовления ровинга"
"300","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор изготовления рулонно-конструкционных материалов"
"301","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор получения кварцевых стекловолокон"
"302","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор получения непрерывного стекловолокна"
"303","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор получения оптического стекловолокна"
"304","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор получения стекловолокна каолинового состава"
"305","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор получения стеклохолста одностадийным методом"
"306","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор получения штапельного стекловолокна"
"307","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор производства кремнеземных материалов"
"308","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор пульта управления электропечей"
"309","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор установки изготовления гофрированных листовых стеклопластиков"
"310","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Оператор установок изготовления стеклопластиковых конструкций"
"311","Инженерное дело; технологии и технические науки","18.01.06","Оператор производства стекловолокна; стекловолокнистых материалов и изделий стеклопластиков","Размотчик стеклонити"
"312","Инженерное дело; технологии и технические науки","18.01.07","Аппаратчик производства стекловолокнистых материалов и стеклопластиков","Профессии аппаратчиков; включенные в ЕТКС; выпуск 28"
"313","Инженерное дело; технологии и технические науки","18.01.08","Мастер-изготовитель деталей и изделий из стекла","Выдувальщик стеклоизделий"
"314","Инженерное дело; технологии и технические науки","18.01.08","Мастер-изготовитель деталей и изделий из стекла","Кварцеплавильщик"
"315","Инженерное дело; технологии и технические науки","18.01.08","Мастер-изготовитель деталей и изделий из стекла","Оператор стеклоформующих машин"
"316","Инженерное дело; технологии и технические науки","18.01.08","Мастер-изготовитель деталей и изделий из стекла","Стеклодув"
"317","Инженерное дело; технологии и технические науки","18.01.09","Мастер-обработчик стекла и стеклоизделий","Полировщик стекла и стеклоизделий"
"318","Инженерное дело; технологии и технические науки","18.01.09","Мастер-обработчик стекла и стеклоизделий","Шлифовщик стеклоизделий"
"319","Инженерное дело; технологии и технические науки","18.01.09","Мастер-обработчик стекла и стеклоизделий","Шлифовщик стекла"
"320","Инженерное дело; технологии и технические науки","18.01.10","Отдельщик и резчик стекла","Отдельщик выдувных изделий"
"321","Инженерное дело; технологии и технические науки","18.01.10","Отдельщик и резчик стекла","Резчик стекла"
"322","Инженерное дело; технологии и технические науки","18.01.11","Контролер стекольного производства","Контролер стекольного производства"
"323","Инженерное дело; технологии и технические науки","18.01.12","Изготовитель фарфоровых и фаянсовых изделий","Обжигальщик фарфоровых и фаянсовых изделий"
"324","Инженерное дело; технологии и технические науки","18.01.12","Изготовитель фарфоровых и фаянсовых изделий","Отливщик фарфоровых и фаянсовых изделий"
"325","Инженерное дело; технологии и технические науки","18.01.12","Изготовитель фарфоровых и фаянсовых изделий","Формовщик фарфоровых и фаянсовых изделий"
"326","Инженерное дело; технологии и технические науки","18.01.13","Отделочник и комплектовщик фарфоровых и фаянсовых изделий","Глазуровщик фарфоровых и фаянсовых изделий"
"327","Инженерное дело; технологии и технические науки","18.01.13","Отделочник и комплектовщик фарфоровых и фаянсовых изделий","Комплектовщик фарфоровых и фаянсовых изделий"
"328","Инженерное дело; технологии и технические науки","18.01.13","Отделочник и комплектовщик фарфоровых и фаянсовых изделий","Оправщик-чистильщик"
"329","Инженерное дело; технологии и технические науки","18.01.14","Контролер-приемщик фарфоровых; фаянсовых и керамических изделий","Контролер-приемщик фарфоровых; фаянсовых и керамических изделий"
"330","Инженерное дело; технологии и технические науки","18.01.15","Изготовитель эмалированной посуды","Эмалировщик"
"331","Инженерное дело; технологии и технические науки","18.01.15","Изготовитель эмалированной посуды","Рисовальщик эмалями"
"332","Инженерное дело; технологии и технические науки","18.01.16","Аппаратчик в производстве химических волокон","Профессии аппаратчиков; включенные в ЕТКС; выпуск 28"
"333","Инженерное дело; технологии и технические науки","18.01.17","Оператор в производстве химических волокон","Оператор кручения и вытяжки"
"334","Инженерное дело; технологии и технические науки","18.01.17","Оператор в производстве химических волокон","Оператор кручения и намотки химических волокон"
"335","Инженерное дело; технологии и технические науки","18.01.17","Оператор в производстве химических волокон","Отделочник химических волокон"
"336","Инженерное дело; технологии и технические науки","18.01.17","Оператор в производстве химических волокон","Перемотчик нити"
"337","Инженерное дело; технологии и технические науки","18.01.17","Оператор в производстве химических волокон","Ставильщик"
"338","Инженерное дело; технологии и технические науки","18.01.18","Аппаратчик производства синтетических смол и пластических масс","Профессии аппаратчиков и операторов; включенные в ЕТКС; выпуск 27"
"339","Инженерное дело; технологии и технические науки","18.01.19","Машинист-оператор в производстве изделий из пластмасс","Литейщик пластмасс"
"340","Инженерное дело; технологии и технические науки","18.01.19","Машинист-оператор в производстве изделий из пластмасс","Машинист выдувных машин"
"341","Инженерное дело; технологии и технические науки","18.01.19","Машинист-оператор в производстве изделий из пластмасс","Машинист гранулирования пластических масс"
"342","Инженерное дело; технологии и технические науки","18.01.19","Машинист-оператор в производстве изделий из пластмасс","Машинист микструдера"
"343","Инженерное дело; технологии и технические науки","18.01.19","Машинист-оператор в производстве изделий из пластмасс","Машинист установки самоклеящихся пленок"
"344","Инженерное дело; технологии и технические науки","18.01.19","Машинист-оператор в производстве изделий из пластмасс","Машинист экструдера"
"345","Инженерное дело; технологии и технические науки","18.01.20","Прессовщик изделий из пластмасс","Прессовщик листовых материалов"
"346","Инженерное дело; технологии и технические науки","18.01.20","Прессовщик изделий из пластмасс","Прессовщик пленочных материалов пресс-рулонным методом"
"347","Инженерное дело; технологии и технические науки","18.01.20","Прессовщик изделий из пластмасс","Прессовщик труб и профилей"
"348","Инженерное дело; технологии и технические науки","18.01.20","Прессовщик изделий из пластмасс","Оператор роторной линии по производству изделий из пластических масс"
"349","Инженерное дело; технологии и технические науки","18.01.21","Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей; резиновых технических изделий и шин","Аппаратчик приготовления латексной смеси"
"350","Инженерное дело; технологии и технические науки","18.01.21","Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей; резиновых технических изделий и шин","Аппаратчик приготовления резиновых клеев и покрытий"
"351","Инженерное дело; технологии и технические науки","18.01.21","Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей; резиновых технических изделий и шин","Вальцовщик резиновых смесей"
"352","Инженерное дело; технологии и технические науки","18.01.21","Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей; резиновых технических изделий и шин","Каландровщик резиновых смесей"
"353","Инженерное дело; технологии и технические науки","18.01.21","Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей; резиновых технических изделий и шин","Машинист каландра"
"354","Инженерное дело; технологии и технические науки","18.01.21","Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей; резиновых технических изделий и шин","Машинист пропиточного агрегата"
